user_id,event_type,timestamp,device
User_81,view,2021-01-01 00:00:00,Desktop
User_18,view,2021-01-01 00:00:00,Mobile
User_28,purchase,2021-01-01 00:00:00,Mobile
User_79,cart,2021-01-01 00:00:00,Mobile
User_1,view,2021-01-01 00:00:00,Desktop
User_165,view,2021-01-01 00:00:00,Mobile
User_79,purchase,2021-01-01 01:00:00,Mobile
User_139,cart,2021-01-01 01:00:00,Mobile
User_22,view,2021-01-01 01:00:00,Desktop
User_131,view,2021-01-01 01:00:00,Mobile
User_94,view,2021-01-01 01:00:00,Desktop
User_79,purchase,2021-01-01 01:00:00,Mobile
User_154,cart,2021-01-01 01:00:00,Mobile
User_133,purchase,2021-01-01 01:00:00,Mobile
User_58,purchase,2021-01-01 01:00:00,Mobile
User_144,purchase,2021-01-01 02:00:00,Desktop
User_161,purchase,2021-01-01 02:00:00,Mobile
User_36,purchase,2021-01-01 02:00:00,Mobile
User_65,purchase,2021-01-01 02:00:00,Desktop
User_36,cart,2021-01-01 02:00:00,Mobile
User_20,purchase,2021-01-01 02:00:00,Desktop
User_34,view,2021-01-01 02:00:00,Mobile
User_197,purchase,2021-01-01 02:00:00,Desktop
User_16,view,2021-01-01 02:00:00,Desktop
User_65,cart,2021-01-01 02:00:00,Mobile
User_11,view,2021-01-01 02:00:00,Mobile
User_16,cart,2021-01-01 03:00:00,Mobile
User_94,view,2021-01-01 03:00:00,Mobile
User_81,cart,2021-01-01 04:00:00,Mobile
User_33,view,2021-01-01 04:00:00,Desktop
User_172,purchase,2021-01-01 04:00:00,Desktop
User_196,cart,2021-01-01 04:00:00,Mobile
User_22,cart,2021-01-01 05:00:00,Mobile
User_15,cart,2021-01-01 05:00:00,Desktop
User_183,purchase,2021-01-01 05:00:00,Mobile
User_4,purchase,2021-01-01 05:00:00,Desktop
User_156,purchase,2021-01-01 05:00:00,Mobile
User_33,cart,2021-01-01 05:00:00,Mobile
User_23,cart,2021-01-01 05:00:00,Desktop
User_103,cart,2021-01-01 06:00:00,Desktop
User_114,purchase,2021-01-01 06:00:00,Mobile
User_46,purchase,2021-01-01 06:00:00,Mobile
User_146,cart,2021-01-01 06:00:00,Mobile
User_192,purchase,2021-01-01 06:00:00,Desktop
User_165,view,2021-01-01 06:00:00,Mobile
User_98,cart,2021-01-01 06:00:00,Desktop
User_115,cart,2021-01-01 07:00:00,Desktop
User_190,cart,2021-01-01 07:00:00,Desktop
User_8,view,2021-01-01 07:00:00,Mobile
User_165,view,2021-01-01 07:00:00,Desktop
User_175,purchase,2021-01-01 07:00:00,Desktop
User_178,cart,2021-01-01 07:00:00,Mobile
User_188,cart,2021-01-01 08:00:00,Desktop
User_75,cart,2021-01-01 08:00:00,Desktop
User_146,purchase,2021-01-01 08:00:00,Desktop
